Energy,Post,Comment,Cleaned_Comment,Token_Count,Sentiment,Sentiment_Mapped,reasons
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,"Stand up, Stand up Shorty!","Stand up, Stand up Shorty!",7,LABEL_1,NEUTRAL,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Well part if the problem is it was the Labor Party who banned nuclear energy in Australia way back in 1986 so its likely to be hard to convince them and the greens to overturn the nuclear power ban .,Well part if the problem is it was the Labor Party who banned nuclear energy in Australia way back in 1986 so its likely to be hard to convince them and the greens to overturn the nuclear power ban .,40,LABEL_0,NEGATIVE,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,"Another Failed Port Folio, On His Resume!","Another Failed Port Folio, On His Resume!",9,LABEL_0,NEGATIVE,not-defined
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Sky was running the narrative some time back ... Power still on ... As you were ,Sky was running the narrative some time back ... Power still on ... As you were ,16,LABEL_1,NEUTRAL,not-defined
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,You’d be forgiven in thinking that our current government is purposefully trying to ruin our country financially AND start a racist split that will cause unrest,You’d be forgiven in thinking that our current government is purposefully trying to ruin our country financially AND start a racist split that will cause unrest,28,LABEL_0,NEGATIVE,not-defined
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,The ALP are just crazy. They agree the nuc subs and storage of waste but oppose using it for domestic power. It makes no sense,The ALP are just crazy. They agree the nuc subs and storage of waste but oppose using it for domestic power. It makes no sense,27,LABEL_0,NEGATIVE,infrastructure
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Black Out Bowen has no credibility. Love to know what credentials he has to make calls on our country’s future.,Black Out Bowen has no credibility. Love to know what credentials he has to make calls on our country’s future.,24,LABEL_0,NEGATIVE,financial_constraints
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,"Bowen is driving poverty in Australia. Everything we do requires abundant,  affordable energy. And there is no man made climate emergency. Never forget this!","Bowen is driving poverty in Australia. Everything we do requires abundant,  affordable energy. And there is no man made climate emergency. Never forget this!",29,LABEL_1,NEUTRAL,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,"If mr Hinkley is so dead keen on nuclear power, let’s see him offer up his electorate as the site to dump Australia’s nuclear waste…..","If mr Hinkley is so dead keen on nuclear power, let’s see him offer up his electorate as the site to dump Australia’s nuclear waste…..",31,LABEL_0,NEGATIVE,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,How many blackouts so far with renewables ?,How many blackouts so far with renewables ?,8,LABEL_1,NEUTRAL,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,They need to be kicked out now. Go back to coal and gas. They are better for the environment. When renewables are really renewables and don’t take more to produce than they give back. Then they should be used otherwise they will create a global disaster.,They need to be kicked out now. Go back to coal and gas. They are better for the environment. When renewables are really renewables and don’t take more to produce than they give back. Then they should be used otherwise they will create a global disaster.,53,LABEL_0,NEGATIVE,financial_constraints
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Blackout Bowen is happy to spend taxpayers money and have no consequences.,Blackout Bowen is happy to spend taxpayers money and have no consequences.,13,LABEL_1,NEUTRAL,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Sit down luddite,Sit down luddite,3,LABEL_0,NEGATIVE,not-defined
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Maybe it China  pulling the string ,Maybe it China  pulling the string ,6,LABEL_1,NEUTRAL,not-defined
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,"If capitalism worked correctly,  Maintence would have kept Coal power stations competitive producing cheap power for the people, But no, we all got scammed by multinational Tax bludgers instead","If capitalism worked correctly,  Maintence would have kept Coal power stations competitive producing cheap power for the people, But no, we all got scammed by multinational Tax bludgers instead",32,LABEL_0,NEGATIVE,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,How many energy policies did liberal have in 9 years? 10 I think.,How many energy policies did liberal have in 9 years? 10 I think.,15,LABEL_1,NEUTRAL,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Does Keith have solar panels on his homes,Does Keith have solar panels on his homes,8,LABEL_1,NEUTRAL,not-defined
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Pork chops Bowenless will do a poo poo valve throwing it’s hands around like that. ,Pork chops Bowenless will do a poo poo valve throwing it’s hands around like that. ,18,LABEL_0,NEGATIVE,not-defined
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Never offer Australians anything positive as they find it offensive,Never offer Australians anything positive as they find it offensive,10,LABEL_0,NEGATIVE,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Shame liberals and nationals made zero Progress on nuclear energy in a decade. ￼,Shame liberals and nationals made zero Progress on nuclear energy in a decade. ￼,15,LABEL_0,NEGATIVE,financial_constraints
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,"Chris Bowen, your a brainwashed,uneducated f##kwit","Chris Bowen, your a brainwashed,uneducated f##kwit",12,LABEL_0,NEGATIVE,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,https://fb.watch/kFpMnvi8AC/?mibextid=NnVzG8This young man has more intelligence than Blackout Bowen could ever dream to have. Nuclear for Australia, young man has more intelligence than Blackout Bowen could ever dream to have. Nuclear for Australia,17,LABEL_2,POSITIVE,financial_constraints
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Sack the moron,Sack the moron,3,LABEL_0,NEGATIVE,not-defined
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Let’s power up,Let’s power up,5,LABEL_2,POSITIVE,not-defined
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,bowen is an idiot,bowen is an idiot,4,LABEL_0,NEGATIVE,not-defined
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,"There is no such thing as clean renewable energy other than hydro. Huge amounts of lead, lithium and cobalt go into wind turbines and solar panel technology. This technology has a far shorter life span than nuclear, coal or gas for power generation.Plus, with wind and solar renewables, back up power and battery storage will always be required. Then you have the massive battery usage for electric cars on top of all of this. African countries are now becoming dumping grounds for vast amounts of disused solar panels laden with lead and other heavy metals. With nuclear, you get net zero emissions and reliable energy with modern modular reactors. I understand nuclear waste is already being stored in synroc a material invented by the CSIRO.","There is no such thing as clean renewable energy other than hydro. Huge amounts of lead, lithium and cobalt go into wind turbines and solar panel technology. This technology has a far shorter life span than nuclear, coal or gas for power generation.Plus, with wind and solar renewables, back up power and battery storage will always be required. Then you have the massive battery usage for electric cars on top of all of this. African countries are now becoming dumping grounds for vast amounts of disused solar panels laden with lead and other heavy metals. With nuclear, you get net zero emissions and reliable energy with modern modular reactors. I understand nuclear waste is already being stored in synroc a material invented by the CSIRO.",137,LABEL_0,NEGATIVE,infrastructure
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Bowen is well on the way to achieving the status as the most stupid Australian politician that ever lived.,Bowen is well on the way to achieving the status as the most stupid Australian politician that ever lived.,20,LABEL_0,NEGATIVE,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,If you want to have fun trying to cure the dumbest woke lefties in history or at least have fun trying then i recommend you join my Facebook group if you haven't already. https://www.facebook.com/groups/1265843070661621/?ref=share_group_link,If you want to have fun trying to cure the dumbest woke lefties in history or at least have fun trying then i recommend you join my Facebook group if you haven't already. ,35,LABEL_1,NEUTRAL,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Then why not use your 9 years in government to do something about it???,Then why not use your 9 years in government to do something about it???,17,LABEL_1,NEUTRAL,technological_shortcomings
Solar,Nationals MP Keith Pitt says Energy Minister Chris Bowen wants to turn Australia into an intermittent wind and solar energy “super-unreliable power”.Watch the full episode at www.skynews.com.au/flash,Go nuclear it's been in Sweden for many years.,Go nuclear it's been in Sweden for many years.,11,LABEL_1,NEUTRAL,technological_shortcomings
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",They are not really seeing the effect that our sustainable renewable energy is doing to the country. We should be going back to our energy source that has proven itself. How much of our country is being affected from the waste that these installations created. Start watching the true stories about what the rest of the world is coping with by these so called clean energy. The waste that they creating in as bad as the uranium as it can not be reused and does not breakdown and they are burrying it for generations to find.,They are not really seeing the effect that our sustainable renewable energy is doing to the country. We should be going back to our energy source that has proven itself. How much of our country is being affected from the waste that these installations created. Start watching the true stories about what the rest of the world is coping with by these so called clean energy. The waste that they creating in as bad as the uranium as it can not be reused and does not breakdown and they are burrying it for generations to find.,101,LABEL_0,NEGATIVE,infrastructure
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",Good old Premier Trad buying the green voters her inner city electorate is full of.,Good old Premier Trad buying the green voters her inner city electorate is full of.,16,LABEL_1,NEUTRAL,not-defined
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.","These solar panels will not return the energy it took to mine, build and install them. FFS just burn the coal instead and get 24/7 reliable power.","These solar panels will not return the energy it took to mine, build and install them. FFS just burn the coal instead and get 24/7 reliable power.",30,LABEL_0,NEGATIVE,infrastructure
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",What a waste of tax payers money,What a waste of tax payers money,7,LABEL_0,NEGATIVE,not-defined
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",Stupidity........doing the same thing over and over and expecting different results.,Stupidity........doing the same thing over and over and expecting different results.,14,LABEL_0,NEGATIVE,technological_shortcomings
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.","Be amazed, hold on to your seats, be ready for the sequel to 'Planet of the Humans' staring Elbow as Dr Zaius and introducing Adam Bandt in his first feature role as Cornelius. Mark Matthews in the role of George Taylor. Follow the plight of humanity in 'Planet of the Apes'. Winner of the Green development award, coming to an ABC near you. Here is a short preview. https://www.youtube.com/watch?v=XvuM3DjvYf0","Be amazed, hold on to your seats, be ready for the sequel to 'Planet of the Humans' staring Elbow as Dr Zaius and introducing Adam Bandt in his first feature role as Cornelius. Mark Matthews in the role of George Taylor. Follow the plight of humanity in 'Planet of the Apes'. Winner of the Green development award, coming to an ABC near you. Here is a short preview. ",78,LABEL_1,NEUTRAL,financial_constraints
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",Planet of the Humans was what I already knew but the other documentary “The Great Global Warming Swindle”..was next level and much more eye opening. It gives you the whole background of how this hoax started and continues today. A must watch. On YouTube.,Planet of the Humans was what I already knew but the other documentary “The Great Global Warming Swindle”..was next level and much more eye opening. It gives you the whole background of how this hoax started and continues today. A must watch. On YouTube.,52,LABEL_2,POSITIVE,not-defined
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.","Another carbon tax...everything, without exception, that you pay for has an electricity cost component...Your car insurance, school fees, groceries, petrol, rates... and green soar and wind has added at least 30% to your power bills and added costs to everything ..without exception.This is a carbon TAX...FACT.Making you poorer for no measurable benefit...Palasssotasick is a left green socialist economic incompetent under union control.","Another carbon tax...everything, without exception, that you pay for has an electricity cost component...Your car insurance, school fees, groceries, petrol, rates... and green soar and wind has added at least 30% to your power bills and added costs to everything ..without exception.This is a carbon TAX...FACT.Making you poorer for no measurable benefit...Palasssotasick is a left green socialist economic incompetent under union control.",80,LABEL_0,NEGATIVE,financial_constraints
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",Flogging a dead horse here .The renewable experimentation has failed miserably at astronomical cost to taxpayers.Put a stop to this madness.,Flogging a dead horse here .The renewable experimentation has failed miserably at astronomical cost to taxpayers.Put a stop to this madness.,22,LABEL_0,NEGATIVE,technological_shortcomings
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.","The data showed late last year, even as presented in right wing media, that most companies are not fleeing at all. This is yet another example of the dishonesty and that the right doesn't know what the left is talking about in the right wing media. Billions of dollars of projects in the pipeline and underway. Hardy fleeing. There's room for all power generation types at the moment, as I always say. Clearly the energy companies see that too. Oh yeah and how about mentioning the tax subsidies and breaks for the newly released area of land for coal and gas exploration in QLD? Too much to admit that? (Now watch the brainwashed in denial have their usual brainfart because they can't disprove that the tender went out yesterday.)","The data showed late last year, even as presented in right wing media, that most companies are not fleeing at all. This is yet another example of the dishonesty and that the right doesn't know what the left is talking about in the right wing media. Billions of dollars of projects in the pipeline and underway. Hardy fleeing. There's room for all power generation types at the moment, as I always say. Clearly the energy companies see that too. Oh yeah and how about mentioning the tax subsidies and breaks for the newly released area of land for coal and gas exploration in QLD? Too much to admit that? (Now watch the brainwashed in denial have their usual brainfart because they can't disprove that the tender went out yesterday.)",146,LABEL_0,NEGATIVE,financial_constraints
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.","Bunch of fools, stick with proven 24/7 coal or go nuclear, bloody eyesore propellers polluting a beautiful countryside and solar when the sun wants to play.Again, bloody bunch of hopeless fools!!","Bunch of fools, stick with proven 24/7 coal or go nuclear, bloody eyesore propellers polluting a beautiful countryside and solar when the sun wants to play.Again, bloody bunch of hopeless fools!!",36,LABEL_0,NEGATIVE,technological_shortcomings
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",How can we afford this?  We are broke. Even real estate Jackie Trad says so.  The only spending going on at the moment is from the Feds.  Is this delivering on some deal with Greens? https://www.theaustralian.com.au/.../d8b36b321cd28d121745...,How can we afford this?  We are broke. Even real estate Jackie Trad says so.  The only spending going on at the moment is from the Feds.  Is this delivering on some deal with Greens? ,40,LABEL_0,NEGATIVE,technological_shortcomings
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",How much coal is used to make the solar panels?,How much coal is used to make the solar panels?,11,LABEL_1,NEUTRAL,technological_shortcomings
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",C'mon Sky News enough with the lies.  Investment is pausing because of poor infrastructure and and even poorer LNP government.,C'mon Sky News enough with the lies.  Investment is pausing because of poor infrastructure and and even poorer LNP government.,22,LABEL_0,NEGATIVE,financial_constraints
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.","Useless fools. Not their money of course and they will be gone soon, just leaving the wreckage!","Useless fools. Not their money of course and they will be gone soon, just leaving the wreckage!",20,LABEL_0,NEGATIVE,technological_shortcomings
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.","Qld Govoner General earn your pay and stand her down, please stop this wasteful female dog from pushing Queensland deeper in debt","Qld Govoner General earn your pay and stand her down, please stop this wasteful female dog from pushing Queensland deeper in debt",23,LABEL_0,NEGATIVE,not-defined
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.","That's what they do. Waste other peoples money. Solar, olympics, public service bonus etc etc","That's what they do. Waste other peoples money. Solar, olympics, public service bonus etc etc",20,LABEL_0,NEGATIVE,financial_constraints
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",If solar was any good it would not need support.  Waste of MONEY.,If solar was any good it would not need support.  Waste of MONEY.,15,LABEL_0,NEGATIVE,technological_shortcomings
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",Fraction of the percentage of fossil fuel subsidies.,Fraction of the percentage of fossil fuel subsidies.,9,LABEL_1,NEUTRAL,social_resistance
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.","Lord bless you qldrs. Do yourselves a favour, list qld labor dead set last at your next state election or not at all ","Lord bless you qldrs. Do yourselves a favour, list qld labor dead set last at your next state election or not at all ",25,LABEL_1,NEUTRAL,technological_shortcomings
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",Same in WA where McGowan is building a huge wind farm and solar farm in the Pilbara at a huge cost. But then again he is labor so it was expectedhttps://www.smh.com.au/.../wa-watchdog-green-lights-world...,Same in WA where McGowan is building a huge wind farm and solar farm in the Pilbara at a huge cost. But then again he is labor so it was expected,32,LABEL_1,NEUTRAL,financial_constraints
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",Yes solar viability and use have peaked and even over produce at the wrong times of the day all at once.As for wind..The wind energy cannot be  booked in advance planning because the wind might not blow those days.Ok.Australian Energy commission released these concerns..Not me..,Yes solar viability and use have peaked and even over produce at the wrong times of the day all at once.As for wind..The wind energy cannot be  booked in advance planning because the wind might not blow those days.Ok.Australian Energy commission released these concerns..Not me..,51,LABEL_0,NEGATIVE,financial_constraints
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",After all solar panels are so clean and last forever and there made with fairy dust and they dont take up any space and there made with abundant materials and there providing another revenue stream for the rich.,After all solar panels are so clean and last forever and there made with fairy dust and they dont take up any space and there made with abundant materials and there providing another revenue stream for the rich.,39,LABEL_2,POSITIVE,social_resistance
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.","hahahaha....the sham is being exposed for what what it is...and now,as usual the taxpayer will be footing the bill for this ""Scam""...","hahahaha....the sham is being exposed for what what it is...and now,as usual the taxpayer will be footing the bill for this ""Scam""...",31,LABEL_0,NEGATIVE,financial_constraints
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.","Funny, I thought I read recently on these pages that there was more investment in renewables - obviously wasn't a News Corp page","Funny, I thought I read recently on these pages that there was more investment in renewables - obviously wasn't a News Corp page",25,LABEL_1,NEUTRAL,not-defined
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",Labor & Liberal it seems will always keep the people poor to control them.,Labor & Liberal it seems will always keep the people poor to control them.,15,LABEL_0,NEGATIVE,financial_constraints
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.","Forget it. If they are made in Qld from our materials, that's ok.","Forget it. If they are made in Qld from our materials, that's ok.",17,LABEL_2,POSITIVE,not-defined
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",why they fall apart in 5 years,why they fall apart in 5 years,7,LABEL_0,NEGATIVE,technological_shortcomings
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.",Who said they are fleeing?,Who said they are fleeing?,6,LABEL_1,NEUTRAL,not-defined
Solar,"Just as major private companies are fleeing from investing in renewable energy the Queensland Palaszczuk government has decided now is the time to use taxpayers’ money in “propping up the solar energy sector,” Sky News host Chris Kenny says.","Follow the money ,cut the money and see what happens.","Follow the money ,cut the money and see what happens.",12,LABEL_1,NEUTRAL,financial_constraints
